实况日期,气温,相对湿度,未来雷暴,index,0
1984-04-01 00:00:00,3.5,0.6061636033995305,0.0,364,1984-04-01 00:00:00
1984-04-03 12:00:00,,,0.0,374,1984-04-03 12:00:00
1984-04-03 18:00:00,10.3,0.8276905129462289,0.0,375,1984-04-03 18:00:00
1984-04-04 12:00:00,12.2,0.5972281852700193,1.0,378,1984-04-04 12:00:00
1984-04-05 18:00:00,2.4,0.4912212271070999,0.0,383,1984-04-05 18:00:00
1984-04-07 18:00:00,7.9,0.5494101002001085,0.0,391,1984-04-07 18:00:00
1984-04-10 18:00:00,11.7,0.6993717924974947,0.0,403,1984-04-10 18:00:00
1984-04-15 18:00:00,12.4,0.6724650844247617,1.0,423,1984-04-15 18:00:00
1984-04-17 18:00:00,8.6,0.6596114047876545,0.0,431,1984-04-17 18:00:00
1984-04-24 06:00:00,16.6,0.5232584050970926,1.0,457,1984-04-24 06:00:00
1984-04-25 12:00:00,12.9,0.9741204752368914,0.0,462,1984-04-25 12:00:00
1984-04-26 00:00:00,11.7,0.9358263796210288,0.0,464,1984-04-26 00:00:00
1984-04-27 18:00:00,6.8,0.5545641795112198,0.0,471,1984-04-27 18:00:00
1984-04-30 00:00:00,13.6,0.17157302478376452,0.0,480,1984-04-30 00:00:00
1984-05-02 06:00:00,15.0,0.5336044556266284,0.0,489,1984-05-02 06:00:00
1984-05-08 12:00:00,22.3,0.30855674712069975,0.0,514,1984-05-08 12:00:00
1984-05-10 06:00:00,28.5,0.25549836550865784,1.0,521,1984-05-10 06:00:00
1984-05-10 12:00:00,24.8,0.43325723645415604,1.0,522,1984-05-10 12:00:00
1984-05-18 00:00:00,19.9,0.6402068444276394,0.0,552,1984-05-18 00:00:00
1984-05-19 00:00:00,17.5,0.7636709733106147,0.0,556,1984-05-19 00:00:00
1984-05-20 06:00:00,25.0,0.5175565783847976,1.0,561,1984-05-20 06:00:00
1984-05-30 12:00:00,28.6,26.660724279176954,0.0,602,1984-05-30 12:00:00
1984-06-02 12:00:00,28.8,0.5013612409647167,1.0,614,1984-06-02 12:00:00
1984-06-02 18:00:00,21.6,0.7603863386566027,1.0,615,1984-06-02 18:00:00
1984-06-03 00:00:00,21.7,0.7898973790904491,1.0,616,1984-06-03 00:00:00
1984-06-03 06:00:00,26.6,0.5848026659355005,1.0,617,1984-06-03 06:00:00
1984-06-07 06:00:00,34.0,0.23507070116602377,0.0,633,1984-06-07 06:00:00
1984-06-08 12:00:00,27.5,0.35723967233422754,0.0,638,1984-06-08 12:00:00
1984-06-09 12:00:00,29.8,0.16110752491475994,0.0,642,1984-06-09 12:00:00
1984-06-11 00:00:00,23.4,0.6858756787963464,1.0,648,1984-06-11 00:00:00
1984-06-11 06:00:00,27.4,0.554422873371474,1.0,649,1984-06-11 06:00:00
1984-06-11 12:00:00,25.3,0.6158913895102041,1.0,650,1984-06-11 12:00:00
1984-06-11 18:00:00,23.4,0.5884343563077851,1.0,651,1984-06-11 18:00:00
1984-06-17 18:00:00,25.8,0.42191415965054474,0.0,675,1984-06-17 18:00:00
1984-06-18 06:00:00,31.6,0.33236719901218215,1.0,677,1984-06-18 06:00:00
1984-06-18 12:00:00,26.9,0.43054670873247525,1.0,678,1984-06-18 12:00:00
1984-06-19 06:00:00,27.4,0.5793781029096047,1.0,681,1984-06-19 06:00:00
1984-06-25 12:00:00,28.2,0.2959182332094211,0.0,706,1984-06-25 12:00:00
1984-06-29 06:00:00,34.0,0.30778370292805535,0.0,721,1984-06-29 06:00:00
1984-07-08 06:00:00,31.3,0.5570186895430531,1.0,757,1984-07-08 06:00:00
1984-07-08 12:00:00,,,1.0,758,1984-07-08 12:00:00
1984-07-10 06:00:00,26.5,0.8260226371247865,1.0,765,1984-07-10 06:00:00
1984-07-12 00:00:00,22.2,0.8899114144609809,0.0,772,1984-07-12 00:00:00
1984-07-14 12:00:00,30.1,0.4121008035030916,1.0,782,1984-07-14 12:00:00
1984-07-14 18:00:00,22.1,0.6449984034100313,1.0,783,1984-07-14 18:00:00
1984-07-15 06:00:00,31.8,0.30179901054827274,0.0,785,1984-07-15 06:00:00
1984-07-22 00:00:00,24.3,0.8647716055753925,0.0,812,1984-07-22 00:00:00
1984-07-27 06:00:00,31.7,0.5183443823441246,1.0,833,1984-07-27 06:00:00
1984-07-27 12:00:00,28.8,0.4246757794521606,1.0,834,1984-07-27 12:00:00
1984-07-31 18:00:00,27.4,0.7834283273856838,0.0,851,1984-07-31 18:00:00
1984-08-03 18:00:00,25.8,0.903482038383846,1.0,863,1984-08-03 18:00:00
1984-08-06 06:00:00,35.6,0.5249264455962092,1.0,873,1984-08-06 06:00:00
1984-08-06 12:00:00,25.3,0.6396427064196332,1.0,874,1984-08-06 12:00:00
1984-08-07 12:00:00,28.6,0.7086450436266546,1.0,878,1984-08-07 12:00:00
1984-08-08 06:00:00,31.7,0.6186818645643762,1.0,881,1984-08-08 06:00:00
1984-08-08 12:00:00,27.3,0.7416458354881716,1.0,882,1984-08-08 12:00:00
1984-08-08 18:00:00,25.0,0.9084054808583413,1.0,883,1984-08-08 18:00:00
1984-08-11 06:00:00,30.0,0.7505184941093214,1.0,893,1984-08-11 06:00:00
1984-08-11 12:00:00,26.0,0.7862097697971044,1.0,894,1984-08-11 12:00:00
1984-08-14 00:00:00,22.1,0.4803870551479689,0.0,904,1984-08-14 00:00:00
1984-08-14 06:00:00,28.3,0.32977007620638693,1.0,905,1984-08-14 06:00:00
1984-08-21 18:00:00,22.5,0.868418104986208,0.0,935,1984-08-21 18:00:00
1984-08-22 06:00:00,25.4,0.7522782107815925,1.0,937,1984-08-22 06:00:00
1984-08-22 12:00:00,19.6,0.9047826170516382,0.0,938,1984-08-22 12:00:00
1984-08-24 00:00:00,22.3,0.7614920026140329,0.0,944,1984-08-24 00:00:00
1984-08-25 06:00:00,30.3,0.5898004249931691,1.0,949,1984-08-25 06:00:00
1984-08-27 00:00:00,23.3,0.8853218363222113,0.0,956,1984-08-27 00:00:00
1984-09-03 06:00:00,28.4,0.2808392260622473,0.0,985,1984-09-03 06:00:00
1984-09-05 00:00:00,19.3,0.7518398000240498,0.0,992,1984-09-05 00:00:00
1984-09-07 00:00:00,20.9,0.9170203462847953,0.0,1000,1984-09-07 00:00:00
1984-09-07 06:00:00,26.2,0.712996802719004,1.0,1001,1984-09-07 06:00:00
1984-09-08 18:00:00,18.4,0.49669245712340077,0.0,1007,1984-09-08 18:00:00
1984-09-11 18:00:00,17.0,0.68197964711763,0.0,1019,1984-09-11 18:00:00
1984-09-14 06:00:00,26.5,0.4183299477990373,1.0,1029,1984-09-14 06:00:00
1984-09-14 12:00:00,20.0,0.7627025863777155,1.0,1030,1984-09-14 12:00:00
1984-09-16 12:00:00,21.5,0.6395510670218368,1.0,1038,1984-09-16 12:00:00
1984-09-16 18:00:00,17.0,0.8743875854399717,1.0,1039,1984-09-16 18:00:00
1984-09-18 00:00:00,16.3,0.8851387213148825,1.0,1044,1984-09-18 00:00:00
1984-09-20 00:00:00,15.9,0.8620987594665988,0.0,1052,1984-09-20 00:00:00
1984-09-24 06:00:00,24.6,0.22499409001240897,0.0,1069,1984-09-24 06:00:00
1984-10-06 00:00:00,12.5,0.7302700224936889,0.0,1116,1984-10-06 00:00:00
1984-10-12 00:00:00,11.7,0.4645561803103345,0.0,1140,1984-10-12 00:00:00
1984-10-12 18:00:00,9.8,0.5829296129280094,0.0,1143,1984-10-12 18:00:00
1984-10-18 12:00:00,11.4,0.6079480056823113,1.0,1166,1984-10-18 12:00:00
1984-10-19 00:00:00,10.7,0.356508445544817,0.0,1168,1984-10-19 00:00:00
1984-10-25 06:00:00,13.0,0.6420927326453645,0.0,1193,1984-10-25 06:00:00
1984-10-28 06:00:00,12.9,0.2399286721750782,0.0,1205,1984-10-28 06:00:00
1985-04-05 18:00:00,14.3,0.5317505874373087,0.0,1843,1985-04-05 18:00:00
1985-04-20 00:00:00,14.1,0.5201910678497028,0.0,1900,1985-04-20 00:00:00
1985-04-21 00:00:00,14.9,0.7151541921379457,0.0,1904,1985-04-21 00:00:00
1985-04-25 12:00:00,16.1,0.2681302206741761,0.0,1922,1985-04-25 12:00:00
1985-05-01 18:00:00,16.6,0.7723078209884603,1.0,1947,1985-05-01 18:00:00
1985-05-03 00:00:00,18.2,0.7647807530151588,0.0,1952,1985-05-03 00:00:00
1985-05-09 06:00:00,24.4,0.6060845167356798,1.0,1977,1985-05-09 06:00:00
1985-05-18 18:00:00,17.3,0.8746585907321065,0.0,2015,1985-05-18 18:00:00
1985-05-24 06:00:00,28.3,0.5260181508182938,1.0,2037,1985-05-24 06:00:00
